"代號","名稱","股價日期","成交","漲跌價","漲跌幅","成交張數","布林上軌","布林中軌","布林下軌","布林通道開口","布林%b","布林帶寬","一個月走勢圖","三個月走勢圖","半年走勢圖","一年走勢圖","三年走勢圖"
="0050","元大台灣50","09/09","83.8","+0.3","+0.36","12,633","84.62↗","82.73↗","80.84↗","3.79↗","0.78↘","0.05↗","    ","    ","    ","    ","    "
="0051","元大中型100","09/09","34","+0.04","+0.12","10","34.19↗","33.82↗","33.45↗","0.74↗","0.75↘","0.02↗","    ","    ","    ","    ","    "
="0052","富邦科技","09/09","58.7","+0.15","+0.26","111","59.45↗","57.85↗","56.25↗","3.21↗","0.76↘","0.06↗","    ","    ","    ","    ","    "
="0053","元大電子","09/09","37","0","0","45","37.4↗","36.72↗","36.03↗","1.37↗","0.71↘","0.04↗","    ","    ","    ","    ","    "
="0054","元大台商50","09/09","23.24","+0.15","+0.65","5","23.33↗","22.97↗","22.61↗","0.71↗","0.88↘","0.03↗","    ","    ","    ","    ","    "
="0055","元大MSCI金融","09/09","18.63","+0.15","+0.81","142","18.71↗","18.35↗","18↘","0.7↗","0.89↘","0.04↗","    ","    ","    ","    ","    "
="0056","元大高股息","09/09","27.77","-0.06","-0.22","7,862","27.97↗","27.65↗","27.33↗","0.63↘","0.69↘","0.02↘","    ","    ","    ","    ","    "
="0057","富邦摩台","09/09","53.35","+0.15","+0.28","23","53.81↗","52.73↗","51.65↗","2.15↗","0.79↘","0.04↗","    ","    ","    ","    ","    "
="0058","富邦發達","09/09","46.4","-0.14","-0.3","22","46.74↗","46.23↗","45.72↗","1.02↘","0.66↘","0.02↘","    ","    ","    ","    ","    "
="0059","富邦金融","09/09","47.37","+0.57","+1.22","6","47.47↗","46.68↗","45.88↘","1.6↗","0.93↗","0.03↗","    ","    ","    ","    ","    "
="0061","元大寶滬深","09/09","18.51","+0.16","+0.87","1,063","18.73↗","18.23↗","17.73↗","1↗","0.78↗","0.05↗","    ","    ","    ","    ","    "
="006201","元大富櫃50","09/09","13.11","-0.02","-0.15","267","13.21↗","13.1↗","13↗","0.21↘","0.53↘","0.02↘","    ","    ","    ","    ","    "
="006203","元大MSCI台灣","09/09","39.38","+0.35","+0.9","1","39.71↗","38.78↗","37.85↗","1.87↗","0.82↗","0.05↗","    ","    ","    ","    ","    "
